time,close,volume
2020-07-15 20:00:00,19.3500,7391
2020-07-15 19:55:00,19.3600,6861
2020-07-15 19:50:00,19.3000,5772
2020-07-15 19:45:00,19.3700,2275
2020-07-15 19:40:00,19.3700,1504
2020-07-15 19:35:00,19.3200,2998
2020-07-15 19:30:00,19.3000,6021
2020-07-15 19:25:00,19.2500,3392
2020-07-15 19:20:00,19.2100,6028
2020-07-15 19:15:00,19.3500,2706
2020-07-15 19:10:00,19.3000,5978
2020-07-15 19:05:00,19.3000,14289
2020-07-15 19:00:00,19.4100,7090
2020-07-15 18:55:00,19.4200,5125
2020-07-15 18:50:00,19.4200,3022
2020-07-15 18:45:00,19.4400,4471
2020-07-15 18:40:00,19.4500,1468
2020-07-15 18:35:00,19.4300,2849
2020-07-15 18:30:00,19.3700,5042
2020-07-15 18:25:00,19.4600,18517
2020-07-15 18:20:00,19.5000,12370
2020-07-15 18:15:00,19.3700,1604
2020-07-15 18:10:00,19.3500,5188
2020-07-15 18:05:00,19.3800,10658
2020-07-15 18:00:00,19.4300,15554
2020-07-15 17:55:00,19.5100,21821
2020-07-15 17:50:00,19.3400,8457
2020-07-15 17:45:00,19.4000,17577
2020-07-15 17:40:00,19.3600,5748
2020-07-15 17:35:00,19.4000,10528
2020-07-15 17:30:00,19.3600,23238
2020-07-15 17:25:00,19.2500,14465
2020-07-15 17:20:00,19.4600,18587
2020-07-15 17:15:00,19.5000,19269
2020-07-15 17:10:00,19.5900,23773
2020-07-15 17:05:00,19.7000,34488
2020-07-15 17:00:00,19.8000,73245
2020-07-15 16:55:00,19.7500,91002
2020-07-15 16:50:00,19.4400,16633
2020-07-15 16:45:00,19.4000,50878
2020-07-15 16:40:00,19.4000,59104
2020-07-15 16:35:00,19.4002,48069
2020-07-15 16:30:00,19.3000,102360
2020-07-15 16:25:00,19.4600,84042
2020-07-15 16:20:00,19.2400,67830
2020-07-15 16:15:00,19.2300,142414
2020-07-15 16:10:00,19.4600,233474
2020-07-15 16:05:00,18.6000,2946
2020-07-15 16:00:00,18.5500,278451
2020-07-15 15:55:00,18.4901,183357
2020-07-15 15:50:00,18.5950,149402
2020-07-15 15:45:00,18.4900,145122
2020-07-15 15:40:00,18.5500,38259
2020-07-15 15:35:00,18.5677,75326
2020-07-15 15:30:00,18.5400,81225
2020-07-15 15:25:00,18.4300,44076
2020-07-15 15:20:00,18.4823,46029
2020-07-15 15:15:00,18.3900,115236
2020-07-15 15:10:00,18.4200,114449
2020-07-15 15:05:00,18.4841,36289
2020-07-15 15:00:00,18.4700,56146
2020-07-15 14:55:00,18.4517,96596
2020-07-15 14:50:00,18.6199,69264
2020-07-15 14:45:00,18.6100,40178
2020-07-15 14:40:00,18.6530,57365
2020-07-15 14:35:00,18.6800,111805
2020-07-15 14:30:00,18.6111,67674
2020-07-15 14:25:00,18.5668,46780
2020-07-15 14:20:00,18.5500,55885
2020-07-15 14:15:00,18.5319,66038
2020-07-15 14:10:00,18.5700,73867
2020-07-15 14:05:00,18.6200,135639
2020-07-15 14:00:00,18.5400,66089
2020-07-15 13:55:00,18.5600,83435
2020-07-15 13:50:00,18.5200,100988
2020-07-15 13:45:00,18.5050,100445
2020-07-15 13:40:00,18.4000,63696
2020-07-15 13:35:00,18.4019,69421
2020-07-15 13:30:00,18.3100,55156
2020-07-15 13:25:00,18.2777,49589
2020-07-15 13:20:00,18.3400,88555
2020-07-15 13:15:00,18.3000,65678
2020-07-15 13:10:00,18.2966,41990
2020-07-15 13:05:00,18.2400,50641
2020-07-15 13:00:00,18.2959,130443
2020-07-15 12:55:00,18.3000,135377
2020-07-15 12:50:00,18.3677,230958
2020-07-15 12:45:00,18.3017,60842
2020-07-15 12:40:00,18.2400,56109
2020-07-15 12:35:00,18.2800,122550
2020-07-15 12:30:00,18.4299,62922
2020-07-15 12:25:00,18.2860,119947
2020-07-15 12:20:00,18.3600,138607
2020-07-15 12:15:00,18.1800,96655
2020-07-15 12:10:00,18.2200,87406
2020-07-15 12:05:00,18.1086,180979
2020-07-15 12:00:00,18.1300,136526
2020-07-15 11:55:00,18.4200,60180
2020-07-15 11:50:00,18.2820,128678
2020-07-15 11:45:00,18.3311,295310
